Type	Period	Title	ShortDescription	FundingInstitution	Program	ProjectType	WebUrl	Logo	ProjectCode	ProjectStatus	ProjectCategory	RelatedResearchAreas	TimeCreated	TimeUpdated	People	CollabEntitites	Institutions	Keywords	Description
Project	01/2008 - 12/2010	SEASONAL 2	Ensemble seasonal forecast over Europe: Characterization and global/regional validation	Spanish Goverment	Spanish R+D Program 2008-2011	National project			CGL-2007-64387/CLI	Finished	Regular project		10 Jul 2008 - 12:38	11 Oct 2012 - 12:00	Rodríguez, M.A. | Gutiérrez, J.M. | Wio, H. | Revelli, J. | Cofiño, A.S. | Pons, M.R. | Díez, E. | Herrera, S.	AEMET Modelización	IFCA | UC | AEMET	El Niño | Statistical downscaling | ENSEMBLES | Seasonal prediction | MVL diagram | Logarithmic bred vectors | Space-time chaos	
Project	12/2007 - 12/2009	Métodos probabilísticos de interpolación de observaciones binarias a rejillas de alta resolución	Predicción probabilística de tormentas mediante métodos de downscaling estadístico sobre rejillas de alta resolución.	AEMET	AEMET projects	National project				Finished	Regular project		2 Jul 2009 - 09:08	7 Nov 2010 - 18:43	Oviedo, L.M. | Pons, M.R. | Ancell, R.	IFCA (CSIC-UC) | UC	AEMET	Statistical downscaling	
Project	11/2007 - 12/2008	CLIVAR-España thematic network	Climate variability at regional and global level and on time scales from seasonal to long-term	Plan Nacional I+D del Ministerio de Educación y Ciencia	Spanish R+D Program 2008-2011	National project	http://clivar.iim.csic.es/			In progress	Research network		25 Nov 2008 - 13:02	18 Dec 2008 - 17:45	Gutiérrez, J.M. | Fernández, J. | Cofiño, A.S.			Observed climate | Climate change	
Project	06/2007 - 06/2009	Escenarios Regionales de Cambio Climático en Cantabria	Desarrollo de un atlas climático (termopluviometría) de Cantabria a 1 km y producción de escenarios regionales de cambio climático para el siglo XXI	Gobierno de Cantabria	Research/Trasfer Contracts	Regional project			20.640.02.2369	Finished	Regular project		3 Jul 2008 - 07:30	11 Oct 2012 - 12:02	Gutiérrez, J.M. | San-Martín, D. | Herrera, S. | Fernández, J. | Pons, M.R.	Grupo de Geografía Histórica del paisaje | Grupo de Estudio y Gestión del Medio Natural | Instituto de Hidráulica de Cantabria (IHC)	IFCA | UC | AEMET	Observed climate | Climate simulation | Regional climate scenarios | Climate change	
Project	04/2007	Atmospheric Circulation Reconstructions over the Earth	Atmospheric Circulation Reconstructions over the Earth			European project	http://www.met-acre.org/			In progress	Research network		30 Nov 2008 - 19:14	24 Apr 2009 - 11:17	Cofiño, A.S.	Met Office Hadley Centre | ESRL | CIRES | QCCCE | NOAA	UC	Statistical downscaling	
Project	03/2007 - 03/2008	icmbd	Healthcare performance indicators for the Spanish Health System (length of stay, mortality, etc.)	Spanish Health Ministry	Research/Trasfer Contracts	National project	https://icmbd.msssi.es		UC 20.640.01.2346	Finished	Regular project		14 May 2008 - 10:42	30 Mar 2015 - 14:21	Gutiérrez, J.M. | Cofiño, A.S. | San-Martín, D.	Instituto de Información Sanitaria | Innova Salud	Predictia | UC	Bayesian networks | Case mix | Healthcare performance	
Project	01/2007 - 12/2010	Spanish e-Science Network	The Spanish e-Science Network is in charge of organizing, coordinating and promoting the e-Science in Spain. It acts as a complementary tool for projects, programs, infrastructures and other resources in the environment of e-Science.	Ministerio de Ciencia e Innovación	Spanish R+D Program 2004-2007	National project	http://www.e-ciencia.es/		CAC-2007-52	In progress	Research network		8 May 2009 - 12:50	19 Jun 2009 - 12:19	Cofiño, A.S. | Fernández-Quiruelas, V. | García-Torre, F. | Gutiérrez, J.M.		IFCA | UC	eScience | GRID computing	
Project	06/2006 - 05/2008	DEGREE	Dissemination and Exploitation of GRids in Earth sciencE		6th European FP	European project	http://www.eu-degree.eu/			Finished	Regular project		22 Sep 2008 - 10:45	4 Nov 2009 - 00:45	Cofiño, A.S. | Gutiérrez, J.M. | Fernández-Quiruelas, V. | Fernández, J. | García-Torre, F.		UC	eScience | GRID workflow | GRID computing	
Project	01/2006	Thematic network on probabilistic graphical models	Spanish thematic network around the topic of graphical probabilistic models, including applications in industry.		Spanish R+D Program 2004-2007	National project	http://www.sc.ehu.es/ccwbayes/rtmpg/index.php?name=Web_Links&req=viewlink&cid=1			In progress	Research network		2 Jul 2008 - 12:15	18 Dec 2008 - 17:44	Gutiérrez, J.M. | Ancell, R. | Cofiño, A.S. | San-Martín, D. | Sordo, C.M.		Predictia | UC | AEMET	Data mining | Bayesian networks	
Project	01/2006 - 12/2011	i-Math ingenio mathematica	Programa de actividad investigadora integral para la matemática española		Consolider-Ingenio 2010	National project	http://www.i-math.org/			Finished	Regular project		2 Jul 2008 - 16:40	11 Oct 2012 - 12:01	Gutiérrez, J.M. | Cofiño, A.S. | Fernández, J. | Herrera, S. | San-Martín, D.		UC	Mathematics	
Project	01/2006 - 12/2007	EELA	E-infrastructure shared between Europe and Latin America	European Commision	6th European FP	European project	http://www.eu-eela.org			Finished	Regular project		11 Jul 2008 - 16:15	3 Oct 2008 - 16:18	Gutiérrez, J.M. | Cofiño, A.S. | Fernández-Quiruelas, V. | Fernández, J. | García-Torre, F.		UC	CAM model | GRID workflow | GRID computing | eScience	
Project	11/2005 - 11/2007	Development and Analysis of a Daily High Resolution Grid over Spain (1950-2003)	In this project, a daily high resolution grid over Spain of precipitation and extreme temperatures was developed.		AEMET projects	National project	http://www.boe.es/g/es/bases_datos/doc.php?coleccion=indilex&id=2005/19318&txtlen=298			Finished	Regular project		18 Jul 2008 - 10:48	8 Jan 2009 - 10:55	Ancell, R. | Herrera, S.		AEMET	Seasonal prediction | Statistical downscaling	
Project	10/2005 - 10/2008	IN-VENTO	Wind speed and power supply prediction in wind farms using statistical methods. Economic value from the electric power market perspective		Spanish R+D Program 2004-2007	National project			CGL2005-06966-C07-02/CLI	Finished	Regular project		14 Jul 2008 - 19:25	4 Nov 2009 - 00:57	Gutiérrez, J.M. | San-Martín, D.		UC	Wind farm | Statistical downscaling	
Project	09/2005 - 09/2009	ENSEMBLES	Ensemble prediction system for seasonal forecast and regional climate change based on the principal state-of-the-art, global and regional models developed in Europe	European Union	6th European FP	European project	http://www.ensembles-eu.org		GOCE-CT-2003-505539	Finished	Regular project		4 Apr 2008 - 19:17	11 Oct 2012 - 11:58	Gutiérrez, J.M. | Cofiño, A.S. | San-Martín, D. | Sordo, C.M. | Frías, M.D. | Fernández, J. | Herrera, S. | Pons, M.R. | Ancell, R.	AEMET Modelización | Electricite de France (EDF)	UC	Regional climate scenarios | Probabilistic forecast | Ensemble Prediction | Climate simulation | Climate change | Seasonal prediction	
Project	02/2005 - 06/2010	COST Action 731	Propagation of uncertainty in advanced meteo-hydrological forecast systems	European Science Foundation	6th European FP	European project	http://cost731.bafg.de		COST731	In progress	Research network		16 Jun 2008 - 08:33	18 Dec 2008 - 17:44	Cofiño, A.S. | Orfila, B.			Statistical downscaling	
Project	10/2004 - 09/2007	SEASONAL	Economic Value and Predictability of Seasonal Ensemble Forecast Models in Middle and Tropical Latitudes.	Spanish Goverment	Spanish R+D Program 2004-2007	National project			CGL2004-02652/CLI	Finished	Regular project		8 Jul 2008 - 17:46	26 Jan 2010 - 01:31	Rodríguez, M.A. | Gutiérrez, J.M. | Ancell, R. | Díez, E. | Wio, H. | Primo, C. | Frías, M.D.	SENAMHI | AEMET Modelización	IFCA | UC | AEMET	Logarithmic bred vectors | Space-time chaos | El Niño | Statistical downscaling | DEMETER | Seasonal prediction	
Project	11/2003 - 11/2005	Regional statistical downscaling for seasonal prediction, using Self Organizing Maps	Regional statistical downscaling for seasonal prediction, using Self Organizing Maps.		AEMET projects	National project	http://www.boe.es/boe/dias/2004/05/24/pdfs/A19371-19371.pdf			Finished	Regular project		7 Jul 2008 - 11:03	18 Dec 2008 - 17:45	Ancell, R. | Sordo, C.M.		AEMET	Self-Organizing Maps | Seasonal prediction | Statistical downscaling	
Project	01/2003	Red Ibérica MM5	Thematic network in the Iberian peninsula for research and development of projects based on regional MM5/WRF atmospheric model		Spanish R+D Program 2004-2007	National project	http://redibericamm5.uib.es			In progress	Research network		2 Jul 2008 - 16:45	18 Dec 2008 - 17:43	Fernández, J. | Cofiño, A.S. | Gutiérrez, J.M. | Rodríguez, M.A.		UC	Climate simulation | WRF model | MM5 model	
Project	03/2002 - 04/2005	CrossGrid	CrossGrid		5th European FP	European project	http://www.crossgrid.org			Finished	Regular project		22 Sep 2008 - 16:01	4 Nov 2009 - 00:42	Gutiérrez, J.M. | Cofiño, A.S. | Sordo, C.M.		UC	eScience | GRID computing	
